State,FIPS,DSCI,date
CA,06047,500,2015-07-07
CA,06047,500,2015-07-14
CA,06047,500,2015-07-21
CA,06047,500,2015-07-28
CA,06047,500,2015-08-04
CA,06047,500,2015-08-11
CA,06047,500,2015-08-18
CA,06047,500,2015-08-25
CA,06047,500,2015-09-01
CA,06047,500,2015-09-08
CA,06047,500,2015-09-15
CA,06047,500,2015-09-22
CA,06047,500,2015-09-29
CA,06047,500,2015-10-06
CA,06047,500,2015-10-13
CA,06047,500,2015-10-20
CA,06047,500,2015-10-27
CA,06047,500,2015-11-03
CA,06047,500,2015-11-10
CA,06047,500,2015-11-17
CA,06047,500,2015-11-24
CA,06047,500,2015-12-01
CA,06047,500,2015-12-08
CA,06047,500,2015-12-15
CA,06047,500,2015-12-22
CA,06047,500,2015-12-29
CA,06047,500,2016-01-05
CA,06047,500,2016-01-12
CA,06047,500,2016-01-19
CA,06047,500,2016-01-26
CA,06047,500,2016-02-02
CA,06047,500,2016-02-09
CA,06047,500,2016-02-16
CA,06047,500,2016-02-23
CA,06047,500,2016-03-01
CA,06047,500,2016-03-08
CA,06047,500,2016-03-15
CA,06047,500,2016-03-22
CA,06047,500,2016-03-29
CA,06047,500,2016-04-05
CA,06047,500,2016-04-12
CA,06047,400,2016-04-19
CA,06047,400,2016-04-26
CA,06047,400,2016-05-03
CA,06047,400,2016-05-10
CA,06047,400,2016-05-17
CA,06047,400,2016-05-24
CA,06047,400,2016-05-31
CA,06047,400,2016-06-07
CA,06047,400,2016-06-14
CA,06047,400,2016-06-21
CA,06047,400,2016-06-28
CA,06047,400,2016-07-05
CA,06047,400,2016-07-12
CA,06047,400,2016-07-19
CA,06047,400,2016-07-26
CA,06047,400,2016-08-02
CA,06047,400,2016-08-09
CA,06047,400,2016-08-16
CA,06047,400,2016-08-23
CA,06047,400,2016-08-30
CA,06047,400,2016-09-06
CA,06047,400,2016-09-13
CA,06047,400,2016-09-20
CA,06047,400,2016-09-27
CA,06047,400,2016-10-04
CA,06047,400,2016-10-11
CA,06047,400,2016-10-18
CA,06047,400,2016-10-25
CA,06047,400,2016-11-01
CA,06047,400,2016-11-08
CA,06047,400,2016-11-15
CA,06047,400,2016-11-22
CA,06047,400,2016-11-29
CA,06047,400,2016-12-06
CA,06047,400,2016-12-13
CA,06047,400,2016-12-20
CA,06047,400,2016-12-27
CA,06047,400,2017-01-03
CA,06047,359,2017-01-10
CA,06047,348,2017-01-17
CA,06047,249,2017-01-24
CA,06047,200,2017-01-31
CA,06047,200,2017-02-07
CA,06047,109,2017-02-14
CA,06047,78,2017-02-21
CA,06047,9,2017-02-28
CA,06047,9,2017-03-07
CA,06047,9,2017-03-14
CA,06047,9,2017-03-21
CA,06047,9,2017-03-28
CA,06047,9,2017-04-04
CA,06047,9,2017-04-11
CA,06047,9,2017-04-18
CA,06047,9,2017-04-25
CA,06047,9,2017-05-02
CA,06047,9,2017-05-09
CA,06047,9,2017-05-16
CA,06047,9,2017-05-23
CA,06047,9,2017-05-30
CA,06047,9,2017-06-06
CA,06047,9,2017-06-13
CA,06047,9,2017-06-20
CA,06047,9,2017-06-27
CA,06047,9,2017-07-04
CA,06047,9,2017-07-11
CA,06047,9,2017-07-18
CA,06047,9,2017-07-25
CA,06047,9,2017-08-01
CA,06047,9,2017-08-08
CA,06047,9,2017-08-15
CA,06047,9,2017-08-22
CA,06047,9,2017-08-29
CA,06047,9,2017-09-05
CA,06047,9,2017-09-12
CA,06047,9,2017-09-19
CA,06047,9,2017-09-26
